"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_ids","external_gene_names","gene_biotype","entrezgene_id","external_gene_name","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmusculus_homolog_perc_id","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id","mmusculus_homolog_ensembl_genes","mmusculus_homolog_associated_gene_names","mmusculus_homolog_perc_ids","hsapiens_homolog_ensembl_genes","hsapiens_homolog_associated_gene_names","hsapiens_homolog_perc_ids","mmusculus_entrezgene_ids","mmusculus_entrezgene_id","hsapiens_entrezgene_ids","hsapiens_entrezgene_id"
"13","ENSMOCG00000007666",224.597355653074,-7.05335069744861,0.805146302663947,2.76138105835417e-19,2.83020317088545e-16,NA,"","protein_coding",NA,"","","","",NA,"ENSG00000111640","GAPDH","ortholog_one2many",92.4242,NA,NA,NA,NA,NA,NA,NA,NA,"2597",2597
"14","ENSMOCG00000000086",658.849706341999,0.463576275189811,0.0558037376032052,3.19437149319379e-19,3.040128983951e-16,"101982834","B3gnt2","protein_coding",101982834,"B3gnt2","ENSMUSG00000051650","B3gnt2","ortholog_one2one",94.2066,"ENSG00000170340","B3GNT2","ortholog_one2one",88.665,NA,NA,NA,NA,NA,NA,"53625",53625,"10678",10678
"15","ENSMOCG00000019076",683.095028534556,0.577187517443644,0.0684585062564706,4.863953394509e-19,4.32048766856253e-16,"101981670","Slc24a4","protein_coding",101981670,"Slc24a4","ENSMUSG00000041771","Slc24a4","ortholog_one2one",95.3526,"ENSG00000140090","SLC24A4","ortholog_one2one",91.8269,NA,NA,NA,NA,NA,NA,"238384",238384,"123041",123041
"16","ENSMOCG00000003033",5099.22624760429,0.531459278798684,0.0650499119738081,2.00787800609822e-18,1.6720604095783e-15,"101995112","Gucy1a1","protein_coding",101995112,"Gucy1a1","ENSMUSG00000033910","Gucy1a1","ortholog_one2one",95.9479,"ENSG00000164116","GUCY1A1","ortholog_one2one",90.5933,NA,NA,NA,NA,NA,NA,"60596",60596,"2982",2982
"17","ENSMOCG00000013328",35.116817256785,1.02919073978503,0.124601323236077,2.38545699456826e-18,1.86963699974279e-15,"101978947","Lmcd1","protein_coding",101978947,"Lmcd1","ENSMUSG00000057604","Lmcd1","ortholog_one2one",97.2603,"ENSG00000071282","LMCD1","ortholog_one2one",92.8767,NA,NA,NA,NA,NA,NA,"30937",30937,"29995",29995
"18","ENSMOCG00000010948",1137.57511828653,-0.672404877695831,0.0807527106748526,4.21541963725053e-18,3.12034729148478e-15,"101997988","Apod","protein_coding",101997988,"Apod","ENSMUSG00000022548","Apod","ortholog_one2one",85.7143,"ENSG00000189058","APOD","ortholog_one2one",77.7778,NA,NA,NA,NA,NA,NA,"11815",11815,"347",347
"19","ENSMOCG00000010597",31.9702391978015,2.09239964684246,0.26506684041769,6.84422766901372e-18,4.53647714893625e-15,NA,"","processed_pseudogene",NA,"","","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ENSMOCG00000011387",96.403125514519,-0.917427487119455,0.111253089571434,6.82782309079242e-18,4.53647714893625e-15,"101984893","Nrip2","protein_coding",101984893,"Nrip2","ENSMUSG00000001520","Nrip2","ortholog_one2one",76.7717,"ENSG00000053702","NRIP2","ortholog_one2one",63.7795,NA,NA,NA,NA,NA,NA,"60345",60345,"83714",83714
"21","ENSMOCG00000008886",640.396514863876,0.325406635186495,0.0398659150792191,7.14995647910997e-18,4.53647714893625e-15,"101996275","Rgs7bp","protein_coding",101996275,"Rgs7bp","ENSMUSG00000021719","Rgs7bp","ortholog_one2one",95.7198,"ENSG00000186479","RGS7BP","ortholog_one2one",94.1634,NA,NA,NA,NA,NA,NA,"52882",52882,"401190",401190
"22","ENSMOCG00000001866",594.076993022037,0.409482200705443,0.0516313540521696,9.33949099478536e-18,5.53157387589626e-15,"101989153","Filip1","protein_coding",101989153,"Filip1","ENSMUSG00000034898","Filip1","ortholog_one2one",96.2871,"ENSG00000118407","FILIP1","ortholog_one2one",93.7294,NA,NA,NA,NA,NA,NA,"70598",70598,"27145",27145
"23","ENSMOCG00000017062",63.9462816702913,-0.873374972701048,0.106287793647794,1.14521852324194e-17,6.35787150153149e-15,NA,"","protein_coding",NA,"","","","",NA,"ENSG00000099256","PRTFDC1","ortholog_one2one",87.6712,NA,NA,NA,NA,NA,NA,NA,NA,"56952",56952
"24","ENSMOCG00000022542",515.159232756395,0.483621377013739,0.0614757597749841,1.34386304614543e-17,6.88678124109297e-15,"101990489","Dclk3","protein_coding",101990489,"Dclk3","ENSMUSG00000032500","Dclk3","ortholog_one2one",83.7469,"ENSG00000163673","DCLK3","ortholog_one2one",77.5434,NA,NA,NA,NA,NA,NA,"245038",245038,"85443",85443
"25","ENSMOCG00000021524",749.330458624579,0.404750091413064,0.0512712056224885,1.3326339014567e-17,6.88678124109297e-15,"101996041","Sv2c","protein_coding",101996041,"Sv2c","ENSMUSG00000051111","Sv2c","ortholog_one2one",98.8996,"ENSG00000122012","SV2C","ortholog_one2one",96.6988,NA,NA,NA,NA,NA,NA,"75209",75209,"22987",22987
"26","ENSMOCG00000014090",6464.71936806112,0.382152730072734,0.0483186881028007,1.68652695266224e-17,8.29549643539556e-15,"102002707","Rasd2","protein_coding",102002707,"Rasd2","ENSMUSG00000034472","Rasd2","ortholog_one2one",98.8722,"ENSG00000100302","RASD2","ortholog_one2one",94.7368,NA,NA,NA,NA,NA,NA,"75141",75141,"23551",23551
"27","ENSMOCG00000006480",30.4540353300378,1.37177969619221,0.179349551254563,1.7432745436136e-17,8.29549643539556e-15,"101988972","Clec9a","protein_coding",101988972,"Clec9a","ENSMUSG00000046080","Clec9a","ortholog_one2one",68.4647,"ENSG00000197992","CLEC9A","ortholog_one2one",63.4855,NA,NA,NA,NA,NA,NA,"232414",232414,"283420",283420
"28","ENSMOCG00000018891",294.737701172385,-0.974126807298439,0.120787798998519,1.95348217585181e-17,8.97524017622395e-15,"101981359","Ercc6","protein_coding",101981359,"Ercc6","ENSMUSG00000054051","Ercc6","ortholog_one2one",85.1927,"ENSG00000225830","ERCC6","ortholog_one2one",79.716,NA,NA,NA,NA,NA,NA,"319955",319955,"2074",2074
"29","ENSMOCG00000015653",77.1915910527912,-1.83377115352859,0.238305887731664,2.23761128875114e-17,9.93797760377341e-15,"101989760","Amhr2","protein_coding",101989760,"Amhr2","ENSMUSG00000023047","Amhr2","ortholog_one2one",89.2665,"ENSG00000135409","AMHR2","ortholog_one2one",77.6386,NA,NA,NA,NA,NA,NA,"110542",110542,"269",269
"30","ENSMOCG00000019503",51.8662279564612,-1.09380150307811,0.138692873453008,2.64828551224924e-17,1.10267988016278e-14,"101981407","Arntl2","protein_coding",101981407,"Arntl2","ENSMUSG00000040187","Arntl2","ortholog_one2one",75,"ENSG00000029153","BMAL2","ortholog_one2one",68.2143,NA,NA,NA,NA,NA,NA,"272322",272322,"56938",56938
"31","ENSMOCG00000009834",1158.05081091262,0.420240128625396,0.0540349665319621,2.86717397251857e-17,1.12359488264228e-14,"101984360","Coro7","protein_coding",101984360,"Coro7","ENSMUSG00000039637","Coro7","ortholog_one2one",85.5219,"ENSG00000262246","CORO7","ortholog_one2one",81.4815,NA,NA,NA,NA,NA,NA,"78885",78885,"79585",79585
"32","ENSMOCG00000007360",207.832636923614,0.582399628832568,0.0733120221524571,2.84566584524796e-17,1.12359488264228e-14,"101982896","Gpr52","protein_coding",101982896,"Gpr52","ENSMUSG00000118401","Gpr52","ortholog_one2one",97.7839,"ENSG00000203737","GPR52","ortholog_one2one",96.1219,NA,NA,NA,NA,NA,NA,"620246",620246,"9293",9293
"33","ENSMOCG00000017183",3695.74486304086,0.252701580906869,0.0310925169693923,3.89034506603159e-17,1.48099879028014e-14,"101986453","Sec14l1","protein_coding",101986453,"Sec14l1","ENSMUSG00000020823","Sec14l1","ortholog_one2one",96.8056,"ENSG00000129657","SEC14L1","ortholog_one2one",94.7222,NA,NA,NA,NA,NA,NA,"74136",74136,"6397",6397
"34","ENSMOCG00000001284",40.506948570583,-1.48524462033531,0.197923360249616,4.09541214461609e-17,1.5157575393018e-14,"101983324","Lgr6","protein_coding",101983324,"Lgr6","ENSMUSG00000042793","Lgr6","ortholog_one2one",94.9328,"ENSG00000133067","LGR6","ortholog_one2one",89.1417,NA,NA,NA,NA,NA,NA,"329252",329252,"59352",59352
"35","ENSMOCG00000004288",844.772742150036,0.338299498518624,0.0429667549936679,5.59267387024458e-17,2.01396720667943e-14,"101984333","Cacna1c","protein_coding",101984333,"Cacna1c","ENSMUSG00000051331","Cacna1c","ortholog_one2one",94.8952,"ENSG00000151067","CACNA1C","ortholog_one2one",91.5223,NA,NA,NA,NA,NA,NA,"12288",12288,"775, 100874369",775
"36","ENSMOCG00000001332",424.353028832079,0.579517366050248,0.0742364384943072,8.02181209545417e-17,2.81270064104819e-14,"101987518","Gprin3","protein_coding",101987518,"Gprin3","ENSMUSG00000045441","Gprin3","ortholog_one2one",74.3046,"ENSG00000185477","GPRIN3","ortholog_one2one",61.0596,NA,NA,NA,NA,NA,NA,"243385",243385,"285513",285513
"37","ENSMOCG00000019256",665.21974205688,-0.425183111249321,0.0556794466251809,8.3709674882048e-17,2.85986591827797e-14,"101998996","Fgfr1","protein_coding",101998996,"Fgfr1","ENSMUSG00000031565","Fgfr1","ortholog_one2one",94.8843,"ENSG00000077782","FGFR1","ortholog_one2one",94.8843,NA,NA,NA,NA,NA,NA,"14182",14182,"2260",2260
"38","ENSMOCG00000022995",945.388840983499,0.414161609291999,0.0545892670127076,1.36226543416309e-16,4.53770616119725e-14,"101988567","Fktn","protein_coding",101988567,"Fktn","ENSMUSG00000028414","Fktn","ortholog_one2one",93.0586,"ENSG00000106692","FKTN","ortholog_one2one",89.5879,NA,NA,NA,NA,NA,NA,"246179",246179,"2218",2218
"39","ENSMOCG00000012513",8622.35018787505,0.34970983137799,0.0454142372997263,1.70641951865292e-16,5.332477813978e-14,"101989578","Atp2b1","protein_coding",101989578,"Atp2b1","ENSMUSG00000019943","Atp2b1","ortholog_one2one",96.6614,"ENSG00000070961","ATP2B1","ortholog_one2one",96.2639,NA,NA,NA,NA,NA,NA,"67972",67972,"490",490
"40","ENSMOCG00000002394",502.226995424769,-0.320207200755679,0.0411394081166498,1.7209287451295e-16,5.332477813978e-14,"102001026","","protein_coding",102001026,"","ENSMUSG00000025702","Marchf8","ortholog_one2one",95.8333,"ENSG00000165406","MARCHF8","ortholog_one2one",89.9306,NA,NA,NA,NA,NA,NA,"71779",71779,"220972",220972
"41","ENSMOCG00000002047",1848.70877387506,0.295344477262631,0.0376014090735188,1.68090365239853e-16,5.332477813978e-14,"101986794","Plcb1","protein_coding",101986794,"Plcb1","ENSMUSG00000051177","Plcb1","ortholog_one2one",98.1387,"ENSG00000182621","PLCB1","ortholog_one2one",96.7851,NA,NA,NA,NA,NA,NA,"18795",18795,"23236",23236
"42","ENSMOCG00000018682",1065.59104370396,0.33476383603874,0.043480286293134,2.40286151013146e-16,7.11460594688703e-14,"101983615","Arhgap26","protein_coding",101983615,"Arhgap26","ENSMUSG00000036452","Arhgap26","ortholog_one2one",97.5369,"ENSG00000145819","ARHGAP26","ortholog_one2one",90.1478,NA,NA,NA,NA,NA,NA,"71302",71302,"23092",23092
"43","ENSMOCG00000005546",2103.36642106121,0.346227479073417,0.045569191287089,4.09223684705578e-16,1.16010561170577e-13,"101983571","Dgkb","protein_coding",101983571,"Dgkb","ENSMUSG00000036095","Dgkb","ortholog_one2one",98.7421,"ENSG00000136267","DGKB","ortholog_one2one",96.8553,NA,NA,NA,NA,NA,NA,"217480",217480,"1607",1607
"44","ENSMOCG00000020447",412.356040958915,-0.475863974637399,0.0642898930573249,4.82960160227988e-16,1.32624100565333e-13,"101985565","Fbxw8","protein_coding",101985565,"Fbxw8","ENSMUSG00000032867","Fbxw8","ortholog_one2one",91.7785,"ENSG00000174989","FBXW8","ortholog_one2one",82.047,NA,NA,NA,NA,NA,NA,"231672",231672,"26259",26259
"45","ENSMOCG00000020211",66.6400098427664,-0.719972870292129,0.0926688281505837,4.87734984066444e-16,1.32624100565333e-13,"101981758","Prr5l","protein_coding",101981758,"Prr5l","ENSMUSG00000032841","Prr5l","ortholog_one2one",95.6757,"ENSG00000135362","PRR5L","ortholog_one2one",89.7297,NA,NA,NA,NA,NA,NA,"72446",72446,"79899",79899
"46","ENSMOCG00000019383",192.598718178344,0.620957858384162,0.0814343429674019,5.94936286665132e-16,1.58538621670524e-13,"101983467","Thsd7a","protein_coding",101983467,"Thsd7a","ENSMUSG00000032625","Thsd7a","ortholog_one2one",92.8919,"ENSG00000005108","THSD7A","ortholog_one2one",90.5832,NA,NA,NA,NA,NA,NA,"330267",330267,"221981",221981
"47","ENSMOCG00000014756",601.639971709169,0.390713131022189,0.0529875101454852,9.54694365592032e-16,2.4941858288526e-13,"101978874","Kcnma1","protein_coding",101978874,"Kcnma1","ENSMUSG00000063142","Kcnma1","ortholog_one2one",99.5146,"ENSG00000156113","KCNMA1","ortholog_one2one",98.0583,NA,NA,NA,NA,NA,NA,"16531",16531,"3778",3778
"48","ENSMOCG00000014789",485.554669900176,-0.586255292714032,0.0784098322585362,1.09651112613447e-15,2.80959889319533e-13,"101980985","Kndc1","protein_coding",101980985,"Kndc1","ENSMUSG00000066129","Kndc1","ortholog_one2one",90.9301,"ENSG00000171798","KNDC1","ortholog_one2one",74.8122,NA,NA,NA,NA,NA,NA,"76484",76484,"85442",85442
"49","ENSMOCG00000016012",1859.36619560622,0.475815604085802,0.0652844436978404,1.13510680070277e-15,2.85361566274788e-13,"102001574","Necab1","protein_coding",102001574,"Necab1","ENSMUSG00000040536","Necab1","ortholog_one2one",97.7273,"ENSG00000123119","NECAB1","ortholog_one2one",95.1705,NA,NA,NA,NA,NA,NA,"69352",69352,"64168",64168
"50","ENSMOCG00000004855",134.250608458815,-0.537151307754254,0.0730740263944795,1.33784219701947e-15,3.30100174686805e-13,"101984698","Ogg1","protein_coding",101984698,"Ogg1","ENSMUSG00000030271","Ogg1","ortholog_one2one",89.8551,"ENSG00000114026","OGG1","ortholog_one2one",83.1884,NA,NA,NA,NA,NA,NA,"18294",18294,"4968",4968
"51","ENSMOCG00000002386",1211.51273973748,-0.298604142270099,0.0395601499462645,1.7119517998503e-15,4.14728105112826e-13,"101982263","Gstm7","protein_coding",101982263,"Gstm7","ENSMUSG00000004035","Gstm7","ortholog_one2one",94.0367,"ENSG00000213366","GSTM2","ortholog_one2one",85.3211,NA,NA,NA,NA,NA,NA,"68312",68312,"2946",2946
"52","ENSMOCG00000016596",4239.8764097024,0.515745201613917,0.0710882626557653,2.05680387819302e-15,4.89372408447212e-13,"101990937","Pde10a","protein_coding",101990937,"Pde10a","ENSMUSG00000023868","Pde10a","ortholog_one2one",94.5844,"ENSG00000112541","PDE10A","ortholog_one2one",95.5919,NA,NA,NA,NA,NA,NA,"23984",23984,"10846, 90632",10846
"53","ENSMOCG00000011761",2364.08468923641,0.262140261580176,0.0344588575012195,2.11268951160408e-15,4.93850439519521e-13,"101992922","Scn2a","protein_coding",101992922,"Scn2a","ENSMUSG00000075318","Scn2a","ortholog_one2one",99.3021,"ENSG00000136531","SCN2A","ortholog_one2one",97.7567,NA,NA,NA,NA,NA,NA,"110876",110876,"6326",6326
"54","ENSMOCG00000015620",1432.09841765289,0.275375081071379,0.0363969509623013,2.34031587708759e-15,5.28514724513814e-13,NA,"Nedd4l","protein_coding",NA,"Nedd4l","ENSMUSG00000024589","Nedd4l","ortholog_one2one",99.0232,"ENSG00000049759","NEDD4L","ortholog_one2one",97.4359,NA,NA,NA,NA,NA,NA,"83814",83814,"23327",23327
"55","ENSMOCG00000017442",381.049737239381,0.421383986371117,0.0584896538447753,2.32280923535243e-15,5.28514724513814e-13,"101993199","Lrrc61","protein_coding",101993199,"Lrrc61","ENSMUSG00000073096","Lrrc61","ortholog_one2one",91.8919,"ENSG00000127399","LRRC61","ortholog_one2one",86.4865,NA,NA,NA,NA,NA,NA,"243371",243371,"65999",65999
"56","ENSMOCG00000018862",152.302330864809,-0.871257557424761,0.115941186643033,2.92780464683907e-15,6.36592085408871e-13,"101982072","Syt2","protein_coding",101982072,"Syt2","ENSMUSG00000026452","Syt2","ortholog_one2one",98.8067,"ENSG00000143858","SYT2","ortholog_one2one",97.852,NA,NA,NA,NA,NA,NA,"20980",20980,"127833",127833
"57","ENSMOCG00000011049",2482.08827416266,-0.292671368063573,0.0390463330866489,2.88464802145076e-15,6.36592085408871e-13,"101991839","Chd5","protein_coding",101991839,"Chd5","ENSMUSG00000005045","Chd5","ortholog_one2one",85.8383,"ENSG00000116254","CHD5","ortholog_one2one",83.5541,NA,NA,NA,NA,NA,NA,"269610",269610,"26038",26038
"58","ENSMOCG00000002174",15.5739790050489,-2.55694541476979,0.36490442030665,2.96222675588037e-15,6.36592085408871e-13,"101991527","","protein_coding",101991527,"","ENSMUSG00000089728","Clec2f","ortholog_one2many",47.6415,"","","",NA,NA,NA,NA,NA,NA,NA,"435921",435921,NA,NA
"59","ENSMOCG00000002544",279.437563237808,-0.521595646561861,0.0724596658991173,3.34361068958661e-15,7.07147124254794e-13,"101993749","Agpat4","protein_coding",101993749,"Agpat4","ENSMUSG00000023827","Agpat4","ortholog_one2one",97.09,"ENSG00000026652","AGPAT4","ortholog_one2one",85.9788,NA,NA,NA,NA,NA,NA,"68262",68262,"56895",56895
"60","ENSMOCG00000002117",27.2552699826219,-3.02815440169229,0.428604067308407,4.4177674477235e-15,9.19723960522935e-13,"101988975","Cdhr18","protein_coding",101988975,"Cdhr18","ENSMUSG00000084902","Cdhr18","ortholog_one2one",81.3225,"","","",NA,NA,NA,NA,NA,NA,NA,"238939",238939,NA,NA
"61","ENSMOCG00000013653",195.28440315377,0.629457506783754,0.0854575480619033,4.53860122905447e-15,9.30343427321873e-13,"101996847","Vav3","protein_coding",101996847,"Vav3","ENSMUSG00000033721","Vav3","ortholog_one2one",96.8123,"ENSG00000134215","VAV3","ortholog_one2one",95.8678,NA,NA,NA,NA,NA,NA,"57257",57257,"10451",10451
"62","ENSMOCG00000009231",649.213799344152,0.394144707758346,0.0551186730736461,4.76213696492452e-15,9.61374438191731e-13,"101992989","Map4k3","protein_coding",101992989,"Map4k3","ENSMUSG00000024242","Map4k3","ortholog_one2one",94.3694,"ENSG00000011566","MAP4K3","ortholog_one2one",92.7928,NA,NA,NA,NA,NA,NA,"225028",225028,"8491",8491
"63","ENSMOCG00000017386",254.884378826202,-0.485631872189963,0.0684073068460112,4.8565708982231e-15,9.65805233551113e-13,"101979680","Slco3a1","protein_coding",101979680,"Slco3a1","ENSMUSG00000025790","Slco3a1","ortholog_one2one",99.1549,"ENSG00000176463","SLCO3A1","ortholog_one2one",98.0282,NA,NA,NA,NA,NA,NA,"108116",108116,"28232",28232
"64","ENSMOCG00000012764",246.464305287116,-0.615019505022827,0.0841937840848583,5.84827097586097e-15,1.09749806313199e-12,"101992830","Cdk18","protein_coding",101992830,"Cdk18","ENSMUSG00000026437","Cdk18","ortholog_one2one",96.1625,"ENSG00000117266","CDK18","ortholog_one2one",91.8736,NA,NA,NA,NA,NA,NA,"18557",18557,"5129",5129
"65","ENSMOCG00000011784",121.030420060419,-0.558283176558093,0.0781486496244783,8.20551584527933e-15,1.47743639354732e-12,"101996174","Ebf4","protein_coding",101996174,"Ebf4","ENSMUSG00000053552","Ebf4","ortholog_one2one",97,"ENSG00000088881","EBF4","ortholog_one2one",93.6667,NA,NA,NA,NA,NA,NA,"228598",228598,"57593",57593
"66","ENSMOCG00000007800",17.9932039864,2.06198173843013,0.299253941201447,1.0080051264336e-14,1.79075470728016e-12,"101988809","Zcwpw1","protein_coding",101988809,"Zcwpw1","ENSMUSG00000037108","Zcwpw1","ortholog_one2one",77.6886,"ENSG00000078487","ZCWPW1","ortholog_one2one",63.4029,NA,NA,NA,NA,NA,NA,"381678",381678,"55063",55063
"67","ENSMOCG00000015343",34.216209775853,-1.57219260897546,0.232984594054137,1.09684821211917e-14,1.92294810240471e-12,"101992761","Blnk","protein_coding",101992761,"Blnk","ENSMUSG00000061132","Blnk","ortholog_one2one",91.6849,"ENSG00000095585","BLNK","ortholog_one2one",84.6827,NA,NA,NA,NA,NA,NA,"17060",17060,"29760",29760
"68","ENSMOCG00000022111",152.724985085537,0.856411328047155,0.117333368966359,1.54174380479862e-14,2.63361467373548e-12,NA,"Gm11992","protein_coding",NA,"Gm11992","ENSMUSG00000040978","Gm11992","ortholog_one2one",85.5172,"ENSG00000164746","C7orf57","ortholog_one2one",73.7931,NA,NA,NA,NA,NA,NA,"626870",626870,"136288",136288
"69","ENSMOCG00000000493",414.71948503673,0.336396232194496,0.047230560491511,1.78672798488727e-14,3.01346375577696e-12,"101990432","Utp15","protein_coding",101990432,"Utp15","ENSMUSG00000041747","Utp15","ortholog_one2one",91.8561,"ENSG00000164338","UTP15","ortholog_one2one",88.6364,NA,NA,NA,NA,NA,NA,"105372",105372,"84135",84135
"70","ENSMOCG00000001527",333.451391256797,0.364574947429671,0.0523146668959289,2.9801008085634e-14,4.78395941846972e-12,"101996890","Atxn1","protein_coding",101996890,"Atxn1","ENSMUSG00000046876","Atxn1","ortholog_one2one",96.4602,"ENSG00000124788","ATXN1","ortholog_one2one",90.8976,NA,NA,NA,NA,NA,NA,"20238",20238,"6310",6310
"71","ENSMOCG00000020893",1860.8187500023,0.383413589950632,0.0555641490661099,3.43858323772469e-14,5.45424798326712e-12,"101984407","Rasgrp1","protein_coding",101984407,"Rasgrp1","ENSMUSG00000027347","Rasgrp1","ortholog_one2one",96.4824,"ENSG00000172575","RASGRP1","ortholog_one2one",91.7923,NA,NA,NA,NA,NA,NA,"19419",19419,"10125",10125
"72","ENSMOCG00000016694",205.650401530626,-0.551938030172271,0.0798060582517089,3.74817144529191e-14,5.8753689808317e-12,"101983499","Oxnad1","protein_coding",101983499,"Oxnad1","ENSMUSG00000021906","Oxnad1","ortholog_one2one",87.1383,"ENSG00000154814","OXNAD1","ortholog_one2one",83.2797,NA,NA,NA,NA,NA,NA,"218885",218885,"92106",92106
"73","ENSMOCG00000004856",1774.61670883892,0.317681308812958,0.0453471727286581,6.23128136548715e-14,9.43472646747169e-12,"101983306","Pcdh17","protein_coding",101983306,"Pcdh17","ENSMUSG00000035566","Pcdh17","ortholog_one2one",98.8783,"ENSG00000118946","PCDH17","ortholog_one2one",98.2744,NA,NA,NA,NA,NA,NA,"219228",219228,"27253",27253
